id,author_id,full_name,others,university,subjects,document_by_author,total_citation_number,total_document,h_index
1,6602617074,"Nyengaard Niels Randel","Nyengaard, N. R.| Nyengaard, Niels| Nyengaard, Niels R.","Aarhus Universitet, Aarhus, Denmark","Biochemistry Genetics and Molecular Biology, Immunology and Microbiology, Veterinary, Medicine, Environmental Science",10,178,119,8
2,7102811808,"Mortensen Kim Kusk","Mortensen, Kim K.| Mortensen, K.| MORTENSEN, Kim K.| Mortensen, K. K.","Aarhus Universitet, Aarhus, Denmark","Biochemistry Genetics and Molecular Biology, Immunology and Microbiology, Medicine, Agricultural and Biological Sciences, Chemistry, Chemical Engineering, Pharmacology Toxicology and Pharmaceutics, Multidisciplinary",52,2305,1867,21
3,57198056994,"Lassen Søren Flensted","Lassen, S. F.","Aarhus Universitet, Aarhus, Denmark","Biochemistry Genetics and Molecular Biology",3,50,35,3
4,6602617074,"Nyengaard Niels Randel","Nyengaard, N. R.| Nyengaard, Niels| Nyengaard, Niels R.","Aarhus Universitet, Aarhus, Denmark","Biochemistry Genetics and Molecular Biology, Immunology and Microbiology, Veterinary, Medicine, Environmental Science",10,178,119,8
5,7102811808,"Mortensen Kim Kusk","Mortensen, Kim K.| Mortensen, K.| MORTENSEN, Kim K.| Mortensen, K. K.","Aarhus Universitet, Aarhus, Denmark","Biochemistry Genetics and Molecular Biology, Immunology and Microbiology, Medicine, Agricultural and Biological Sciences, Chemistry, Chemical Engineering, Pharmacology Toxicology and Pharmaceutics, Multidisciplinary",52,2305,1867,21
6,57198056994,"Lassen Søren Flensted","Lassen, S. F.","Aarhus Universitet, Aarhus, Denmark","Biochemistry Genetics and Molecular Biology",3,50,35,3
7,7101717670,"Hershey John W.B.","Hershey, John B.W.| HERSHEY, John W.B.| Hershey, John W.b.| Hershey, J. W.B.| Hershey, J. W.| Hershey, J.| Hershey, John W.| Hershey, John","University of California, Davis, Davis, United States","Biochemistry Genetics and Molecular Biology, Immunology and Microbiology, Multidisciplinary, Medicine, Agricultural and Biological Sciences, Pharmacology Toxicology and Pharmaceutics, Chemistry, Decision Sciences, Mathematics, Environmental Science, Neuroscience, Chemical Engineering",208,13003,7909,62
8,6701804844,"Sperling-Petersen Hans Uffe","Sperling-Petersen, H. U.| Sperling-Petersen, Hans U.","Aarhus Universitet, Aarhus, Denmark","Biochemistry Genetics and Molecular Biology, Immunology and Microbiology, Medicine, Agricultural and Biological Sciences",41,1033,763,17
9,6701641055,"Carre Geoffrey P.","Carre, G. P.| Carre, Geoffrey| Carre, Geoff","Cape Breton University, Sydney, Canada","Neuroscience, Medicine, Biochemistry Genetics and Molecular Biology, Social Sciences",5,74,74,4
10,35584583800,"Harley Carolyn Weyand","Harley, Caronolyn W.| Harley, C.| Harley, Carolyn| Harley, Carolyn A.| Harley, Carolyn W.| Harley, C. W.","Memorial University of Newfoundland, St John's, Canada","Neuroscience, Biochemistry Genetics and Molecular Biology, Psychology, Medicine, Agricultural and Biological Sciences, Pharmacology Toxicology and Pharmaceutics, Computer Science, Social Sciences, Mathematics, Arts and Humanities, Engineering, Immunology and Microbiology, Multidisciplinary",111,3039,1959,31
11,7102849161,"Kavaliers Martin","Kavaliers, M.| KAVALIERS, M.| KAVALIERS, MARTIN","Western University, London, Canada","Neuroscience, Biochemistry Genetics and Molecular Biology, Medicine, Agricultural and Biological Sciences, Pharmacology Toxicology and Pharmaceutics, Psychology, Immunology and Microbiology, Environmental Science, Arts and Humanities, Veterinary, Physics and Astronomy, Mathematics, Multidisciplinary, Social Sciences, Chemistry, Earth and Planetary Sciences",318,10135,5809,54
12,35918015100,"Colwell Douglas D.","COLWELL, D. D.| Colwell, D. D.| Colwell, Doug| Colwell, Douglas D.| Colwell, D.| COLWELL, DOUGLAS D.| Colwell, Doug D.","Lethbridge Research Centre, Lethbridge, Canada","Agricultural and Biological Sciences, Veterinary, Immunology and Microbiology, Neuroscience, Medicine, Biochemistry Genetics and Molecular Biology, Environmental Science, Psychology, Multidisciplinary, Economics Econometrics and Finance, Pharmacology Toxicology and Pharmaceutics",140,2814,1868,31
13,6701452311,"Dawodu Olukayode Fatai","Dawodu, Olukayode Fatal| Dawodu, O. F.| Dawodu, Olukayode F.","The University of British Columbia, Vancouver, Canada","Chemical Engineering, Chemistry, Engineering, Materials Science",8,244,203,7
14,7004067718,"Meisen Axel","Meisen, A.| MEISEN, AXEL| MEISEN, A.","The University of British Columbia, Vancouver, Canada","Chemical Engineering, Chemistry, Energy, Environmental Science, Engineering, Materials Science, Earth and Planetary Sciences, Agricultural and Biological Sciences, Computer Science, Mathematics, Physics and Astronomy",79,2162,1661,25
15,7006561600,"Pellis Sergio M.","Pellis, S. M.| Pellis, Sergio","University of Lethbridge, Lethbridge, Canada","Neuroscience, Psychology, Agricultural and Biological Sciences, Medicine, Biochemistry Genetics and Molecular Biology, Arts and Humanities, Environmental Science, Earth and Planetary Sciences, Social Sciences, Health Professions, Chemical Engineering, Chemistry, Immunology and Microbiology, Pharmacology Toxicology and Pharmaceutics, Multidisciplinary",185,6495,3067,44
16,7102422377,"Whishaw Ian Q.","Whishaw, I. Q.","University of Lethbridge, Lethbridge, Canada","Neuroscience, Psychology, Biochemistry Genetics and Molecular Biology, Medicine, Pharmacology Toxicology and Pharmaceutics, Agricultural and Biological Sciences, Chemical Engineering, Social Sciences, Chemistry, Immunology and Microbiology, Arts and Humanities, Multidisciplinary, Mathematics, Health Professions, Environmental Science, Nursing, Earth and Planetary Sciences, Decision Sciences",412,23073,12924,83
17,6701586241,"Pellis Vivien C.","Pellis, V. C.| Pellis, VIVIEN C.| Pellis, Vivein C.","University of Lethbridge, Lethbridge, Canada","Psychology, Neuroscience, Agricultural and Biological Sciences, Arts and Humanities, Medicine, Biochemistry Genetics and Molecular Biology, Chemistry, Social Sciences, Environmental Science, Multidisciplinary",70,2492,1285,25
18,9941418800,"Harris Twila L.","Harris, T.| Harris, T. L.","University of Ottawa, Canada, Ottawa, Canada","Neuroscience, Medicine",3,51,51,3
19,7003638357,"Bielajew Catherine H.","Bielajew, Cathy| Bielajew, Catherine| Bielajew, C.| Bielajew, C. H.","University of Ottawa, Canada, Ottawa, Canada","Neuroscience, Medicine, Psychology, Biochemistry Genetics and Molecular Biology, Social Sciences, Pharmacology Toxicology and Pharmaceutics, Environmental Science, Arts and Humanities, Nursing, Agricultural and Biological Sciences, Health Professions, Multidisciplinary",86,2327,1611,26
20,7403303277,"Cooper Sally Barry","Barry Cooper, S.| Cooper, Sally| Cooper, S. B.| Cooper, S. Barry","University of Leeds, Leeds, United Kingdom","Mathematics, Computer Science, Biochemistry Genetics and Molecular Biology, Arts and Humanities, Physics and Astronomy, Engineering, Materials Science, Social Sciences, Chemical Engineering, Multidisciplinary",90,607,432,12
21,7101723068,"Harrington Leo A.","Harrington, L.| Harrington, Leo| Harrington, L. A.","University of California, Berkeley, Berkeley, United States","Mathematics, Computer Science, Biochemistry Genetics and Molecular Biology, Arts and Humanities, Multidisciplinary",39,945,812,15
22,55666743100,"H.Lachlan Alistair",NA,"Simon Fraser University, Burnaby, Canada",Mathematics,1,61,61,1
23,6604045826,"Lempp Steffen","Lempp, S.","University of Wisconsin-Madison, Madison, United States","Mathematics, Computer Science, Arts and Humanities",68,539,397,13
24,55663917600,"I.Soare Robert",NA,"University of Chicago, Chicago, United States",Mathematics,1,61,61,1
25,55663917600,"I.Soare Robert",NA,"University of Chicago, Chicago, United States",Mathematics,1,61,61,1
26,7006645705,"Acton P. D.","Acton, P.","Brunel University London, Uxbridge, United Kingdom","Physics and Astronomy",43,1478,1058,24
27,56978658700,"Alexander Gideon","Alexander, G.","Tel Aviv University, Tel Aviv-Yafo, Israel","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Chemistry",1430,62651,27471,99
28,57202528071,"Allison J.",NA,"Rutherford Appleton Laboratory, , United Kingdom","Physics and Astronomy",1,28,28,1
29,56224636200,"Allport Philip P.","Allport, P.| Allport, P. P.| Allport, Phil","University of Birmingham, Birmingham, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Energy, Multidisciplinary, Medicine, Materials Science, Chemistry, Computer Science",1073,51035,22087,96
30,35352197000,"Anderson Kelby J.","Anderson, Kelby| Anderson, K. J.| Anderson, K.| Anderson, KJ","University of Chicago, Chicago, United States","Physics and Astronomy, Engineering, Mathematics, Computer Science, Energy, Biochemistry Genetics and Molecular Biology, Medicine, Multidisciplinary, Chemistry",1306,58000,24728,97
31,7007022411,"Arcelli Silvia","Arcelli, S.","Alma Mater Studiorum Università di Bologna, Bologna, Italy","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology",566,27753,13165,79
32,8056133100,"Ashton P.",NA,"University of Manchester, Manchester, United Kingdom","Physics and Astronomy",56,3780,2664,32
33,7003897663,"Astbury Alan","Astbury, A.","University of Victoria, Victoria, Canada","Physics and Astronomy, Engineering, Mathematics, Environmental Science, Chemistry, Agricultural and Biological Sciences, Biochemistry Genetics and Molecular Biology, Multidisciplinary",460,34475,19321,83
34,24451989100,"Axen David A.","Axen, D.| Axen, David| Axen, D. A.","The University of British Columbia, Vancouver, Canada","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Medicine, Chemistry, Health Professions, Multidisciplinary",703,48230,29582,80
35,35355659000,"Azuelos Georges","AZUELOS, G.| Azuelos, G.","University of Montreal, Montreal, Canada","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Energy, Multidisciplinary, Medicine, Materials Science, Chemistry, Health Professions, Computer Science, Arts and Humanities",1314,59384,25487,98
36,35355659000,"Azuelos Georges","AZUELOS, G.| Azuelos, G.","University of Montreal, Montreal, Canada","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Energy, Multidisciplinary, Medicine, Materials Science, Chemistry, Health Professions, Computer Science, Arts and Humanities",1314,59384,25487,98
37,6603169355,"Bahan Graham A.","Bahan, G. A.| Bahan, Graham","University of Manchester, Manchester, United Kingdom","Physics and Astronomy, Computer Science",45,2685,1991,25
38,55572118300,"Baines John T.M.","Baines, J. T.M.| Baines, J.| Baines, John| Baines, J. T.","Rutherford Appleton Laboratory, , United Kingdom","Physics and Astronomy, Engineering, Mathematics, Energy, Computer Science, Multidisciplinary, Biochemistry Genetics and Molecular Biology, Medicine, Chemistry",1002,46153,19241,93
39,7202932688,"Ball Austin H.","Ball, A. H.| Ball, A.| Ball, Austin","European Organization for Nuclear Research, Geneva, Switzerland","Physics and Astronomy, Engineering, Mathematics, Materials Science, Medicine, Biochemistry Genetics and Molecular Biology, Multidisciplinary, Chemistry, Energy, Computer Science",1278,57185,24226,97
40,8048716600,"Banks J. N.","Banks, J.","University of Manchester, Manchester, United Kingdom","Physics and Astronomy",92,5258,3146,40
41,7202030397,"Barker Gary John","Barker, G. J.| Barker, G.| Barker, Gary","The University of Warwick, Coventry, United Kingdom","Physics and Astronomy, Mathematics, Engineering, Biochemistry Genetics and Molecular Biology",415,18585,11656,60
42,36039377800,"Barlow Roger John","barlow, R. J.| Barlow, Raymond J.| Barlow, Roger J.| Barlow, R. J.| Barlow, RJ| Barlow, R.| Barlow, Roger","University of Manchester, Manchester, United Kingdom","Physics and Astronomy, Mathematics, Engineering, Computer Science, Chemistry, Materials Science, Chemical Engineering, Multidisciplinary, Energy, Biochemistry Genetics and Molecular Biology, Social Sciences, Pharmacology Toxicology and Pharmaceutics",1460,58590,24240,102
43,7006739132,"Batley J. R.",NA,"University of Cambridge, Cambridge, United Kingdom","Physics and Astronomy, Engineering, Mathematics, Multidisciplinary, Biochemistry Genetics and Molecular Biology, Chemistry",1217,56180,23760,100
44,7007151032,"Beaudoin G.",NA,"University of Montreal, Montreal, Canada","Physics and Astronomy, Biochemistry Genetics and Molecular Biology",154,5161,2774,42
45,7401726884,"Beck A.",NA,"Tel Aviv University, Tel Aviv-Yafo, Israel","Physics and Astronomy, Biochemistry Genetics and Molecular Biology",137,6215,3792,42
46,7403712008,"Becker J. D.","Becker, J.","Universität Freiburg im Breisgau, Freiburg im Breisgau, Germany","Physics and Astronomy, Biochemistry Genetics and Molecular Biology, Engineering, Neuroscience, Social Sciences, Psychology, Computer Science",99,4040,2206,38
47,55865071400,"Behnke Ties","Behnke, T.","Deutsches Elektronen-Synchrotron (DESY), Hamburg, Germany","Physics and Astronomy, Mathematics, Engineering, Materials Science, Biochemistry Genetics and Molecular Biology, Computer Science",424,16451,9163,58
48,36048279900,"Bell Kenneth Watson","Bell, K.| Bell, K. W.","Rutherford Appleton Laboratory, , United Kingdom","Physics and Astronomy, Engineering, Mathematics, Materials Science, Multidisciplinary, Biochemistry Genetics and Molecular Biology, Energy, Computer Science",1263,56892,24672,94
49,36041695200,"Bella Gideon","Bella, G.","Tel Aviv University, Tel Aviv-Yafo, Israel","Physics and Astronomy, Engineering, Mathematics, Biochemistry Genetics and Molecular Biology, Chemistry, Energy, Computer Science, Multidisciplinary",1334,59487,25440,97
50,7003751413,"Berlich P.",NA,"Universität Freiburg im Breisgau, Freiburg im Breisgau, Germany","Physics and Astronomy, Biochemistry Genetics and Molecular Biology",157,6014,3523,41
